Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000905,Waltham Forest 011,505809,509243,530755,529197
E02000906,Waltham Forest 012,445334,462248,462765,477239
E02000907,Waltham Forest 013,439871,460426,448169,475123
E02000908,Waltham Forest 014,389205,395365,417434,426998
E02000909,Waltham Forest 015,494251,508319,530684,558658
E02000910,Waltham Forest 016,503162,507518,525436,536663
E02000911,Waltham Forest 017,457260,453226,463114,451980
E02000912,Waltham Forest 018,467897,466435,471020,475666
E02000913,Waltham Forest 019,522435,489274,470962,483058
E02000914,Waltham Forest 020,417191,427868,448645,444810
E02000915,Waltham Forest 021,462322,472193,489331,484240
E02000916,Waltham Forest 022,376021,375231,381395,388758
E02000917,Waltham Forest 023,411562,424198,438748,448434
E02000918,Waltham Forest 024,461514,467976,494676,503802
E02000919,Waltham Forest 025,473119,477590,482844,501442
E02000920,Waltham Forest 026,422093,425939,426339,416006
E02000921,Waltham Forest 027,415831,408820,419161,408234
E02000922,Waltham Forest 028,425848,436498,427964,421225
E02000923,Wandsworth 001,1022686,979854,1036826,1018048
E02000924,Wandsworth 002,1023231,1115004,1037346,1033788
E02000925,Wandsworth 003,780466,723002,733100,866917
E02000926,Wandsworth 004,814511,818142,783680,805805
E02000927,Wandsworth 005,701454,712011,706308,700369
E02000928,Wandsworth 006,1022814,996144,1043407,1021049
E02000929,Wandsworth 007,492349,514169,511640,501634
E02000930,Wandsworth 008,829672,832485,794479,802483
E02000931,Wandsworth 009,928447,954635,942063,927633
E02000932,Wandsworth 010,727873,740532,738645,735072
E02000933,Wandsworth 011,803052,818804,797489,716987
E02000934,Wandsworth 012,728498,788487,789935,810803
E02000935,Wandsworth 013,1177303,1334936,429842,594783
E02000936,Wandsworth 014,643724,601497,591066,570358
E02000937,Wandsworth 015,1175400,1172891,1265421,1251906
E02000938,Wandsworth 016,730311,777963,760124,775742
E02000939,Wandsworth 017,1431081,1302477,1387708,1371103
E02000940,Wandsworth 018,476090,478219,486048,498022
E02000941,Wandsworth 019,822305,895850,859009,849421
E02000942,Wandsworth 020,822148,868296,859807,870050
E02000943,Wandsworth 021,781270,774659,786256,774520
E02000944,Wandsworth 022,434371,413412,437827,456577
E02000945,Wandsworth 023,402860,438011,478666,495010
E02000946,Wandsworth 024,661029,666018,670309,628381
E02000947,Wandsworth 025,741522,725459,705987,691353
E02000948,Wandsworth 026,659562,657016,689726,678798
E02000949,Wandsworth 027,814116,833408,865729,928102
E02000950,Wandsworth 028,570762,617139,581768,597727
E02000951,Wandsworth 029,749092,751733,716498,666341
E02000952,Wandsworth 030,843501,832259,898486,829436
E02000953,Wandsworth 031,653874,679298,674908,667307
E02000954,Wandsworth 032,714547,728112,706248,688583
E02000955,Wandsworth 033,590259,601200,579426,571150
