Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000326,Greenwich 014,506561,482917,494773,487680
E02000327,Greenwich 015,376814,378054,339451,343000
E02000328,Greenwich 016,689600,685027,677375,692918
E02000329,Greenwich 017,368431,373538,371654,374024
E02000331,Greenwich 019,383997,385918,381798,377717
E02000332,Greenwich 020,382475,395079,411917,434722
E02000333,Greenwich 021,772737,779434,808208,735106
E02000334,Greenwich 022,420985,428475,444113,435817
E02000335,Greenwich 023,460687,469833,470070,473456
E02000337,Greenwich 025,369043,372224,384208,383669
E02000339,Greenwich 027,508017,515092,530195,550526
E02000340,Greenwich 028,388797,389314,387297,415902
E02000341,Greenwich 029,360500,359990,362923,336470
E02000342,Greenwich 030,370298,374674,402555,387652
E02000343,Greenwich 031,422695,419332,385656,380854
E02000344,Greenwich 032,411106,422907,433213,446753
E02006786,Greenwich 033,333936,340882,342169,350408
E02006927,Greenwich 034,526201,528897,517156,497229
E02006928,Greenwich 035,490150,473310,490577,491609
E02006929,Greenwich 036,515399,534178,546371,548934
E02006930,Greenwich 037,586189,588142,548472,513752
E02006931,Greenwich 038,683590,649148,623020,643837
E02000345,Hackney 001,718789,651125,634448,552188
E02000346,Hackney 002,597409,617281,626004,661585
E02000347,Hackney 003,694098,664545,663741,610605
E02000348,Hackney 004,468850,423336,525227,576088
E02000350,Hackney 006,600733,628930,639139,656895
E02000351,Hackney 007,600216,571892,503155,503136
E02000352,Hackney 008,617190,703051,725517,715159
E02000353,Hackney 009,720328,771382,801866,746754
E02000354,Hackney 010,529308,531625,550547,565438
E02000355,Hackney 011,726464,774209,758049,808405
E02000356,Hackney 012,773988,735737,742212,773049
E02000357,Hackney 013,372398,382798,389387,399446
E02000358,Hackney 014,605774,606775,604566,609182
E02000359,Hackney 015,683382,692470,680728,718423
E02000360,Hackney 016,495297,501761,485918,478575
E02000361,Hackney 017,518767,508410,553404,600544
E02000362,Hackney 018,483350,474430,465639,448510
E02000363,Hackney 019,379133,415078,436342,449272
E02000364,Hackney 020,690905,687023,711075,816456
E02000365,Hackney 021,609587,613373,624909,723344
E02000366,Hackney 022,729281,719744,727281,714471
E02000367,Hackney 023,584676,618090,641329,694766
E02000368,Hackney 024,539572,526164,565665,562333
E02000369,Hackney 025,480130,479135,454795,446449
E02000370,Hackney 026,713767,719641,707330,681399
E02000371,Hackney 027,604364,621629,667635,671891
E02006918,Hackney 028,402539,403198,396833,406059
E02006921,Hackney 029,486103,465387,495985,515927
E02000372,Hammersmith and Fulham 001,594264,575216,529822,562803
E02000373,Hammersmith and Fulham 002,430402,443148,415754,398820
E02000374,Hammersmith and Fulham 003,780220,763692,739820,776031
E02000375,Hammersmith and Fulham 004,651358,777349,814831,801713
E02000376,Hammersmith and Fulham 005,773717,805195,799298,709506
E02000377,Hammersmith and Fulham 006,619838,663644,709093,736643
E02000378,Hammersmith and Fulham 007,676446,646845,647671,681600
E02000379,Hammersmith and Fulham 008,820658,828332,894963,916038
E02000380,Hammersmith and Fulham 009,972966,968282,987473,943176
E02000381,Hammersmith and Fulham 010,1159884,1204522,1154087,1139262
E02000382,Hammersmith and Fulham 011,876859,946422,887071,956085
E02000383,Hammersmith and Fulham 012,708735,731558,731827,713610
E02000384,Hammersmith and Fulham 013,645567,758302,1034762,1121469
E02000385,Hammersmith and Fulham 014,742398,727096,722951,712609
E02000386,Hammersmith and Fulham 015,635872,661744,602386,594408
E02000387,Hammersmith and Fulham 016,784154,836185,828310,803479
E02000388,Hammersmith and Fulham 017,923001,903382,953175,977353
E02000389,Hammersmith and Fulham 018,1186992,1149843,1179809,1104415
E02000390,Hammersmith and Fulham 019,824747,876537,921177,1001652
E02000391,Hammersmith and Fulham 020,1384099,1346324,1318765,1419791
E02000392,Hammersmith and Fulham 021,1157397,1048307,1038038,1082913
E02000393,Hammersmith and Fulham 022,927020,881250,935447,966411
E02000394,Hammersmith and Fulham 023,1369024,1338207,1235978,1138881
E02000395,Hammersmith and Fulham 024,1134537,1181992,1193175,1276373
E02000396,Hammersmith and Fulham 025,959191,978949,1136592,1114698
E02000397,Haringey 001,433576,464045,472580,505590
E02000398,Haringey 002,323933,322403,323082,309403
E02000400,Haringey 004,635264,655499,674889,652788
E02000401,Haringey 005,397761,400680,404698,405967
E02000402,Haringey 006,347751,357795,354328,392898
E02000403,Haringey 007,473788,468841,476349,458529
E02000404,Haringey 008,407346,399867,433536,441979
E02000405,Haringey 009,890462,894999,918392,960274
E02000406,Haringey 010,461324,444531,454248,481379
E02000407,Haringey 011,380730,419797,432515,417539
E02000408,Haringey 012,386948,378848,399120,412111
E02000409,Haringey 013,478148,459902,460334,418457
E02000410,Haringey 014,850382,781484,791404,779331
E02000411,Haringey 015,362236,386868,377021,369880
E02000412,Haringey 016,495818,494358,446552,428418
E02000413,Haringey 017,814965,866685,937053,961293
E02000414,Haringey 018,458586,481304,492162,504389
E02000415,Haringey 019,491992,501089,523866,512794
E02000416,Haringey 020,553357,553649,562040,560849
E02000417,Haringey 021,962734,940837,930103,976147
E02000418,Haringey 022,971912,1012355,969802,929449
E02000419,Haringey 023,588234,603937,620394,633503
E02000420,Haringey 024,489874,467635,456760,473187
E02000421,Haringey 025,368769,369634,359577,361449
E02000422,Haringey 026,428406,440535,462957,448004
E02000423,Haringey 027,527063,501168,547549,570062
E02000424,Haringey 028,715779,704566,720835,716158
E02000425,Haringey 029,606449,626574,664815,672875
E02000426,Haringey 030,1610915,1459163,1253896,1178216
E02000427,Haringey 031,558949,546188,585522,629422
E02000428,Haringey 032,447987,454615,433032,450779
E02000429,Haringey 033,980454,904809,986859,978999
E02000430,Haringey 034,784605,782526,768802,830676
E02000431,Haringey 035,1058363,1071274,984159,992436
E02000432,Haringey 036,610093,634067,628847,635664
E02006794,Haringey 037,248828,307447,326329,364300
E02000433,Harrow 001,865339,867521,891326,862102
E02000434,Harrow 002,531754,550764,532650,529529
E02000435,Harrow 003,631991,651795,608810,650391
E02000436,Harrow 004,751019,776971,825836,820810
E02000437,Harrow 005,455143,475375,469267,467506
E02000438,Harrow 006,544079,543031,535683,546342
E02000439,Harrow 007,426036,436700,440939,444949
E02000440,Harrow 008,582579,588018,590555,596538
E02000441,Harrow 009,596032,641759,611260,583955
E02000442,Harrow 010,421250,439067,444425,447962
E02000443,Harrow 011,381680,395777,408253,435791
E02000444,Harrow 012,521012,494744,492852,481694
E02000445,Harrow 013,403936,404202,403831,400730
E02000447,Harrow 015,582768,569692,577776,570162
E02000448,Harrow 016,682524,719636,722787,705631
E02000449,Harrow 017,425278,448866,471613,471341
E02000451,Harrow 019,514296,521657,543869,556792
E02000452,Harrow 020,372336,377477,387893,392491
E02000453,Harrow 021,433530,439788,452716,424813
E02000454,Harrow 022,623760,611290,639324,657061
E02000455,Harrow 023,389258,372482,419263,438814
E02000456,Harrow 024,460911,457514,471001,467424
E02000457,Harrow 025,510858,572094,527091,565673
E02000459,Harrow 027,381313,376892,373180,369848
E02000460,Harrow 028,435397,424439,437436,414556
E02000461,Harrow 029,468525,472507,563844,555434
E02000462,Harrow 030,386044,396165,405875,400708
E02000463,Harrow 031,410673,414278,414295,406011
E02006795,Harrow 032,440676,425135,427508,435192
E02006882,Harrow 033,524831,538802,541722,538753
E02000464,Havering 001,317382,310628,321039,328878
E02000465,Havering 002,295228,295864,298966,301618
E02000466,Havering 003,343858,345173,343316,343211
E02000467,Havering 004,269500,268217,269530,271701
E02000468,Havering 005,337509,343981,342197,343585
E02000469,Havering 006,295820,298786,294261,291931
E02000470,Havering 007,419079,417787,385812,382673
E02000471,Havering 008,431957,435217,451194,452377
E02000472,Havering 009,359916,369391,373132,375648
E02000473,Havering 010,356193,361993,360461,360361
E02000474,Havering 011,315565,326133,328153,333365
E02000475,Havering 012,442725,434512,463991,462651
E02000476,Havering 013,270615,273371,279768,286647
E02000477,Havering 014,442638,446327,449455,461363
E02000478,Havering 015,923430,887454,900072,922589
E02000479,Havering 016,288645,303922,312965,323687
E02000480,Havering 017,308138,306088,329266,334084
E02000481,Havering 018,418003,427771,434800,432054
E02000482,Havering 019,569895,564319,595602,599896
E02000483,Havering 020,341260,335942,344470,346756
E02000484,Havering 021,378321,383510,385886,393768
E02000485,Havering 022,416076,427142,431218,427602
E02000486,Havering 023,357136,367886,387255,391207
E02000487,Havering 024,623168,620515,603962,610714
E02000488,Havering 025,406300,414133,419958,420724
E02000489,Havering 026,335067,332561,333644,341183
E02000490,Havering 027,316474,319102,325925,329787
E02000491,Havering 028,311084,306686,309067,310639
E02000492,Havering 029,356249,373053,376221,371828
E02000493,Havering 030,269022,274137,282637,287945
E02000494,Hillingdon 001,952916,956872,969843,921102
E02000495,Hillingdon 002,574778,539063,559682,547422
E02000496,Hillingdon 003,442275,451800,441430,443320
E02000497,Hillingdon 004,514620,524558,535029,525173
E02000498,Hillingdon 005,495729,491178,472696,480026
E02000499,Hillingdon 006,564441,557555,549952,547058
E02000500,Hillingdon 007,621905,623817,622004,605404
E02000501,Hillingdon 008,519976,518271,513364,523677
E02000502,Hillingdon 009,520936,524222,521684,470658
E02000503,Hillingdon 010,472279,478811,476343,475762
E02000504,Hillingdon 011,584325,595651,626617,624427
E02000506,Hillingdon 013,645282,661192,627556,622378
E02000507,Hillingdon 014,418676,427149,421994,428002
E02000508,Hillingdon 015,485189,470058,468283,454241
E02000509,Hillingdon 016,395089,377679,358392,350634
E02000510,Hillingdon 017,441916,436881,474856,485891
E02000511,Hillingdon 018,384654,402854,403424,403049
E02000512,Hillingdon 019,359705,351679,343126,354203
E02000513,Hillingdon 020,311560,307844,308813,334249
E02000514,Hillingdon 021,340502,353558,364163,371135
E02000515,Hillingdon 022,300483,308322,303680,311729
E02000516,Hillingdon 023,347154,355285,371379,377541
E02000517,Hillingdon 024,336421,338957,342083,349040
E02000518,Hillingdon 025,363192,373029,366628,367235
E02000519,Hillingdon 026,381213,368199,384704,379817
E02000520,Hillingdon 027,326986,338630,343878,341826
E02000521,Hillingdon 028,382920,359578,349798,343477
E02000522,Hillingdon 029,355367,362535,381740,395993
E02000523,Hillingdon 030,269974,266741,359981,369180
E02000524,Hillingdon 031,302040,329263,336605,342546
E02000525,Hillingdon 032,282376,301356,317771,320140
E02006796,Hillingdon 033,411532,402688,409307,409656
E02000526,Hounslow 001,1159439,1270437,1230079,1281686
E02000528,Hounslow 003,644628,572686,515910,520353
E02000529,Hounslow 004,345672,336179,343951,334652
E02000530,Hounslow 005,304671,308085,327500,329564
E02000531,Hounslow 006,472226,455167,476543,534817
E02000532,Hounslow 007,1062605,1082351,1039399,1010518
E02000533,Hounslow 008,767788,876740,912453,855737
E02000534,Hounslow 009,477872,492321,469613,516340
E02000535,Hounslow 010,391054,425791,429812,435961
E02000536,Hounslow 011,410246,441323,453847,454563
E02000537,Hounslow 012,514781,523144,511588,524571
E02000538,Hounslow 013,335538,364844,365789,369774
E02000539,Hounslow 014,408359,403688,408435,419544
E02000540,Hounslow 015,403103,389070,382457,395361
E02000541,Hounslow 016,363949,372845,358543,357550
E02000542,Hounslow 017,307912,307315,277189,279349
E02000543,Hounslow 018,272995,277276,308406,355350
E02000544,Hounslow 019,440915,439564,437219,459009
E02000545,Hounslow 020,543764,525197,612525,655733
E02000546,Hounslow 021,353530,353965,360174,371561
E02000547,Hounslow 022,322541,329033,332413,339165
E02000548,Hounslow 023,301622,304574,311784,328015
E02000549,Hounslow 024,340727,343213,346956,356424
E02000550,Hounslow 025,293135,291131,298518,291602
E02000551,Hounslow 026,278588,298367,303797,316386
E02000552,Hounslow 027,297601,297198,297380,310701
E02000553,Hounslow 028,354220,353161,363127,362788
E02006792,Hounslow 029,903926,946388,936130,942691
E02000554,Islington 001,514437,437883,532572,554993
E02000555,Islington 002,609463,635227,649358,695117
E02000556,Islington 003,625519,625288,600601,599124
E02000557,Islington 004,563994,565903,572447,637266
E02000558,Islington 005,507468,502380,451837,476443
E02000559,Islington 006,756058,806522,828123,800417
E02000560,Islington 007,538922,555269,550544,582873
E02000561,Islington 008,990719,1058324,1097941,988183
E02000562,Islington 009,744117,788318,778255,811579
E02000563,Islington 010,527672,552097,580897,541197
E02000564,Islington 011,535696,501519,492856,497847
E02000565,Islington 012,591656,573498,615030,599653
E02000566,Islington 013,921954,968415,955043,941734
E02000567,Islington 014,706857,712532,775512,753493
E02000568,Islington 015,555749,585512,591357,537617
E02000569,Islington 016,809930,842633,982346,998532
E02000570,Islington 017,1084160,1130100,1115527,1059580
E02000571,Islington 018,666725,655175,704780,776148
E02000572,Islington 019,490604,576404,586022,598608
E02000573,Islington 020,1079484,1242771,1278575,1243050
E02000574,Islington 021,835278,848360,841140,882704
E02000575,Islington 022,922966,934225,946255,908759
E02000576,Islington 023,757871,738311,727889,715274
E02000577,Kensington and Chelsea 001,729894,837837,844007,823330
E02000578,Kensington and Chelsea 002,640781,939511,1207589,1369841
E02000579,Kensington and Chelsea 003,1273449,1317510,1202270,1099301
E02000580,Kensington and Chelsea 004,1011542,1058820,1029640,1071668
E02000581,Kensington and Chelsea 005,1306233,1147694,998697,963463
E02000582,Kensington and Chelsea 006,1929026,1793230,1673371,1753579
E02000583,Kensington and Chelsea 007,2699246,2686309,2739804,2762387
E02000584,Kensington and Chelsea 008,2394784,2601850,2821742,3502706
E02000585,Kensington and Chelsea 009,1773100,1712735,1793113,1593565
E02000586,Kensington and Chelsea 010,2999110,2966027,2753486,2506216
E02000587,Kensington and Chelsea 011,2123598,2643182,2718641,2683531
E02000588,Kensington and Chelsea 012,3778106,3475839,3372985,3197276
E02000589,Kensington and Chelsea 013,1448901,1552833,1470538,1418515
E02000590,Kensington and Chelsea 014,2694409,2517664,2307705,1986196
E02000591,Kensington and Chelsea 015,1540990,1537421,1589282,1451722
E02000592,Kensington and Chelsea 016,2130892,2249384,2311470,2100134
E02000593,Kensington and Chelsea 017,1300074,1292586,1279536,1400113
E02000594,Kensington and Chelsea 018,1828845,2175521,2379258,2382644
E02000595,Kensington and Chelsea 019,2449092,2623793,2624427,2345427
E02000596,Kensington and Chelsea 020,1721211,1682559,1706720,1624948
E02000597,Kensington and Chelsea 021,1103570,1242360,1215956,1157496
E02000598,Kingston upon Thames 001,798871,789591,812435,751280
E02000599,Kingston upon Thames 002,1284177,1287855,1292635,1411690
E02000600,Kingston upon Thames 003,588961,586637,573376,562729
E02000601,Kingston upon Thames 004,642097,645011,659754,657727
E02000602,Kingston upon Thames 005,472377,482344,505471,506652
E02000603,Kingston upon Thames 006,512601,521087,514583,532093
E02000604,Kingston upon Thames 007,585232,582375,630237,624088
E02000605,Kingston upon Thames 008,573785,580338,599986,611684
E02000606,Kingston upon Thames 009,529984,533843,554258,551306
E02000607,Kingston upon Thames 010,589812,586008,585997,598534
E02000608,Kingston upon Thames 011,493948,482547,489764,514109
E02000609,Kingston upon Thames 012,543783,523329,543595,562343
E02000610,Kingston upon Thames 013,455029,476344,494098,485707
E02000611,Kingston upon Thames 014,618321,613281,658400,670987
E02000612,Kingston upon Thames 015,540755,516970,537846,526857
E02000613,Kingston upon Thames 016,557799,558802,582897,577646
E02000614,Kingston upon Thames 017,415242,427814,428221,430472
E02000615,Kingston upon Thames 018,406900,418650,440315,439407
E02000616,Kingston upon Thames 019,374807,377009,382458,383240
E02000617,Kingston upon Thames 020,399592,408521,411981,410407
E02000619,Lambeth 002,511503,470474,483105,492156
E02000620,Lambeth 003,704758,945963,1170889,1229649
E02000621,Lambeth 004,723310,663447,654858,667174
E02000622,Lambeth 005,622775,672928,682940,715743
E02000623,Lambeth 006,571328,600460,655916,692276
E02000624,Lambeth 007,478229,474485,498035,456200
E02000625,Lambeth 008,543413,528563,521095,489726
E02000626,Lambeth 009,470686,492407,523088,528750
E02000627,Lambeth 010,627574,603614,614418,643052
E02000628,Lambeth 011,503189,442785,425031,419366
E02000629,Lambeth 012,640598,674032,695420,696848
E02000630,Lambeth 013,864929,897413,896859,810179
E02000631,Lambeth 014,724722,730574,684159,666895
E02000632,Lambeth 015,580043,606106,652900,648248
E02000633,Lambeth 016,576591,596646,621801,568854
E02000634,Lambeth 017,629564,659300,664660,717084
E02000635,Lambeth 018,679905,660073,638929,652234
E02000636,Lambeth 019,974941,1009085,945615,980677
E02000637,Lambeth 020,596072,596059,625774,634894
E02000638,Lambeth 021,483661,489807,481150,475628
E02000639,Lambeth 022,496391,489292,451636,443444
E02000640,Lambeth 023,726433,692016,698627,733381
E02000641,Lambeth 024,436423,439422,424076,405827
E02000642,Lambeth 025,582664,609075,593023,576566
E02000643,Lambeth 026,530067,537878,561869,590171
E02000644,Lambeth 027,514252,539135,551573,549654
E02000645,Lambeth 028,565301,564627,570361,562715
E02000646,Lambeth 029,503790,522514,529871,533085
E02000647,Lambeth 030,579831,575321,556706,583446
E02000648,Lambeth 031,409295,409147,428450,443102
E02000649,Lambeth 032,470399,483452,495115,513505
E02000650,Lambeth 033,503591,489185,461975,465351
E02000651,Lambeth 034,524141,517418,517507,527419
E02000652,Lambeth 035,453793,454355,456619,462023
E02006801,Lambeth 036,767586,775153,720207,799253
E02000653,Lewisham 001,450275,495824,503398,507484
E02000654,Lewisham 002,347543,366882,357704,423471
E02000655,Lewisham 003,370746,349257,366476,360130
E02000657,Lewisham 005,445435,445121,484783,510255
E02000658,Lewisham 006,550362,582507,584118,625096
E02000659,Lewisham 007,549933,546149,494558,532973
E02000660,Lewisham 008,507400,535070,519604,527675
E02000661,Lewisham 009,564710,591325,571499,593575
E02000662,Lewisham 010,465217,465632,491892,516734
E02000663,Lewisham 011,581368,569615,578629,599483
E02000664,Lewisham 012,346523,349519,355974,382037
E02000665,Lewisham 013,530082,538875,560022,556792
E02000666,Lewisham 014,482218,466854,493319,503870
E02000667,Lewisham 015,553596,560861,560536,549250
E02000668,Lewisham 016,532324,579213,583358,570784
E02000669,Lewisham 017,444038,449241,457463,444420
E02000670,Lewisham 018,377366,369631,389174,383049
E02000671,Lewisham 019,489392,511139,533322,525851
E02000672,Lewisham 020,391958,430997,442454,443098
E02000673,Lewisham 021,539830,534150,587235,595908
E02000674,Lewisham 022,476692,475298,489657,474558
E02000675,Lewisham 023,414230,405556,417243,410780
E02000676,Lewisham 024,497860,508788,527290,543307
E02000677,Lewisham 025,480848,470886,495072,501633
E02000678,Lewisham 026,307219,303150,317378,326730
E02000679,Lewisham 027,464935,472867,516669,509350
E02000680,Lewisham 028,421276,466133,502843,508038
E02000681,Lewisham 029,359772,381654,404914,407841
E02000682,Lewisham 030,367037,382386,381495,377327
E02000683,Lewisham 031,306744,309903,308936,299597
E02000685,Lewisham 033,426893,424519,453586,457595
E02000686,Lewisham 034,304616,320953,317819,302065
E02000687,Lewisham 035,471489,479375,500290,508564
E02006783,Lewisham 037,327428,332654,337016,338193
E02006784,Lewisham 038,338949,344081,336270,335574
E02006798,Lewisham 039,357369,382464,372259,403041
E02000689,Merton 001,909479,887806,900551,894004
E02000690,Merton 002,2291698,2333519,2227574,2004981
E02000691,Merton 003,900564,859649,806254,811558
E02000692,Merton 004,1376138,1251255,1262763,1223451
E02000693,Merton 005,437082,459930,464947,482471
E02000694,Merton 006,670970,677605,670296,684614
E02000695,Merton 007,517232,516567,510521,507633
E02000696,Merton 008,393524,388845,388829,391721
E02000697,Merton 009,636989,627569,649142,673254
E02000698,Merton 010,967389,1207873,1199213,1232316
E02000699,Merton 011,634924,649289,657964,656703
E02000700,Merton 012,353085,355180,367897,354260
E02000701,Merton 013,358038,360932,363044,361991
E02000702,Merton 014,361933,351523,343002,333589
E02000703,Merton 015,646279,676705,663525,682425
E02000704,Merton 016,522222,539656,534194,546353
E02000705,Merton 017,387207,399491,402159,400548
E02000706,Merton 018,307224,312850,328829,324512
E02000707,Merton 019,341788,354102,357364,351683
E02000708,Merton 020,454565,471818,474155,538405
E02000709,Merton 021,501617,501149,510049,523035
E02000710,Merton 022,328247,327837,324583,313575
E02000711,Merton 023,353256,360312,377330,385597
E02000712,Merton 024,371142,383174,376004,394855
E02000713,Merton 025,404263,411287,420748,420433
E02000714,Newham 001,418605,432810,416099,447926
E02000715,Newham 002,323736,336357,335310,328448
E02000716,Newham 003,383397,352500,384211,411700
E02000717,Newham 004,358271,383286,364056,339411
E02000718,Newham 005,264941,263474,261394,260839
E02000719,Newham 006,370309,355937,370893,370416
E02000720,Newham 007,562487,537279,557905,576948
E02000721,Newham 008,403215,375715,427387,421317
E02000722,Newham 009,411906,413924,406268,413459
E02000723,Newham 010,352455,381962,384717,390953
E02000724,Newham 011,368875,362748,355312,348878
E02000725,Newham 012,383711,380610,384060,369290
E02000726,Newham 013,414801,442308,451551,452099
E02000727,Newham 014,305907,315420,330700,354696
E02000728,Newham 015,374295,352978,339619,341891
E02000729,Newham 016,439451,453879,461241,443161
E02000730,Newham 017,394775,413558,411188,400320
E02000731,Newham 018,321428,335434,348481,354608
E02000732,Newham 019,318063,338836,342099,345077
E02000733,Newham 020,322869,325170,327317,352471
E02000734,Newham 021,336835,331523,344349,347278
E02000735,Newham 022,330619,331350,337402,401207
E02000736,Newham 023,307017,324430,311323,312139
E02000737,Newham 024,328997,330446,339556,336086
E02000738,Newham 025,359527,358188,363220,363071
E02000739,Newham 026,326020,319486,321069,328992
E02000740,Newham 027,326014,318513,322431,320329
E02000741,Newham 028,337652,339669,341276,353935
E02000742,Newham 029,320196,316681,322245,315190
E02000743,Newham 030,376184,373825,375729,324194
E02000744,Newham 031,349841,368666,368246,366966
E02000745,Newham 032,305292,307714,334415,344000
E02000746,Newham 033,381611,390683,403906,403703
E02000747,Newham 034,400385,399555,396511,395966
E02000748,Newham 035,299980,298484,316023,333343
E02000749,Newham 036,337689,344333,347096,349763
E02000750,Newham 037,502545,531566,499325,481169
E02000751,Redbridge 001,589855,608012,667326,699313
E02000752,Redbridge 002,350108,353021,357725,364959
E02000753,Redbridge 003,368460,361278,360799,357261
E02000754,Redbridge 004,472304,483039,480926,493549
E02000755,Redbridge 005,398395,397039,409986,424966
E02000756,Redbridge 006,432110,447621,442803,428969
E02000757,Redbridge 007,483936,496572,507522,515066
E02000758,Redbridge 008,452334,462403,450964,444421
E02000759,Redbridge 009,499492,504825,501491,507500
E02000760,Redbridge 010,377638,384555,389639,390051
E02000762,Redbridge 012,427627,448205,457411,501314
E02000763,Redbridge 013,362554,352925,367501,362803
E02000764,Redbridge 014,510667,515440,534733,553301
E02000765,Redbridge 015,412893,413406,433660,423066
E02000767,Redbridge 017,393041,402281,398507,378875
E02000768,Redbridge 018,760995,756880,748185,750103
E02000769,Redbridge 019,328301,330602,329676,329167
E02000770,Redbridge 020,349994,372430,388254,381164
E02000772,Redbridge 022,359708,370818,367225,397081
E02000773,Redbridge 023,357111,361587,382950,404199
E02000774,Redbridge 024,363749,375363,393801,380894
E02000776,Redbridge 026,416067,407118,435787,414673
E02000777,Redbridge 027,599870,575539,632697,650690
E02000779,Redbridge 029,290932,301602,288250,275135
E02000780,Redbridge 030,303201,307025,320280,329499
E02000781,Redbridge 031,422462,419546,416662,407411
E02000782,Redbridge 032,300538,306679,305566,311039
E02000783,Redbridge 033,325698,320774,328234,325391
E02006800,Redbridge 034,346355,342515,343242,365741
E02006924,Redbridge 035,397243,408422,432495,467232
E02006925,Redbridge 036,491015,511040,518654,516819
E02000784,Richmond upon Thames 001,1433595,1400240,1426592,1438492
E02000785,Richmond upon Thames 002,985697,935701,968888,961564
E02000786,Richmond upon Thames 003,1061683,1045971,992283,1008301
