Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,count,avg2017
E01001583,Greenwich 021C,557268,538944,583975,566526,4,561678.25
E01001584,Greenwich 021D,1204278,1104412,1172778,936941,4,1104602.25
E01001585,Greenwich 016B,910511,948250,899511,869805,4,907019.25
E01001586,Greenwich 016C,526784,654727,558888,558010,4,574602.25
E01001587,Greenwich 016D,641605,595571,599825,655114,4,623028.75
E01001588,Greenwich 012A,534750,499786,488083,526754,4,512343.25
E01001589,Greenwich 012B,388300,423700,422786,369594,4,401095
E01001590,Greenwich 014A,550111,521944,578636,562115,4,553201.5
E01001591,Greenwich 012C,504611,507786,440750,474750,4,481974.25
E01001592,Greenwich 014B,502912,507941,504252,498570,4,503418.75
E01001593,Greenwich 014C,573759,537396,536583,546682,4,548605
E01001594,Greenwich 014D,295208,295577,257611,237150,3,361848.6667
E01001595,Greenwich 012D,373625,395531,504500,510417,4,446018.25
E01001596,Greenwich 032A,456250,450238,474188,473944,0,#DIV/0!
E01001597,Greenwich 031A,477350,464162,368625,352452,4,415647.25
E01001598,Greenwich 031B,484857,484882,461368,462708,4,473453.75
E01001599,Greenwich 032B,401125,437375,425952,442880,4,426833
E01001600,Greenwich 032C,341031,348882,386462,410923,4,371824.5
E01001601,Greenwich 032D,421971,437474,437573,450412,4,436857.5
E01001602,Greenwich 031C,367611,367136,352071,345579,4,358099.25
E01001603,Greenwich 031D,323167,319154,264000,293625,2,599973
E01001604,Greenwich 027A,550148,582857,592691,565566,4,572815.5
E01001605,Greenwich 023A,524944,509750,502467,503263,4,510106
E01001606,Greenwich 023B,494636,534181,515611,515669,4,515024.25
E01001607,Greenwich 027B,401057,402300,401477,459810,4,416161
E01001608,Greenwich 027C,639600,648000,694176,703571,4,671336.75
E01001609,Greenwich 027D,493214,462594,483909,486740,4,481614.25
E01001610,Greenwich 023C,429033,427367,430883,447077,4,433590
E01001611,Greenwich 023D,433857,443361,451237,430905,4,439840
E01001613,Greenwich 028A,306881,313377,331257,382039,4,333388.5
E01001614,Greenwich 028B,649231,668875,645933,665875,4,657478.5
E01001615,Greenwich 028C,401286,388631,371239,374342,4,383874.5
E01001617,Greenwich 028D,326875,321237,324227,344035,4,329093.5
E01001618,Greenwich 030C,423182,396873,461667,413273,4,423748.75
E01001619,Greenwich 030D,325693,344285,385065,386366,4,360352.25
E01001620,Greenwich 025A,390111,395079,401667,406900,3,531252.3333
E01001621,Greenwich 025B,366389,360333,384113,375109,4,371486
E01001623,Greenwich 025C,363339,380855,387075,388792,4,380015.25
E01001624,Greenwich 025D,397063,388500,380773,396150,4,390621.5
E01001625,Greenwich 025E,294100,304250,,355833,4,238545.75
E01001629,Greenwich 009A,265250,283233,285222,286767,4,280118
E01001631,Greenwich 007B,,,,,4,0
E01001632,Greenwich 007C,280083,302278,333208,331500,4,311767.25
E01001633,Greenwich 009B,332850,327917,331667,326056,4,329622.5
E01001634,Greenwich 009C,251786,255834,249750,258642,4,254003
E01001635,Greenwich 007D,348590,347339,340106,350793,4,346707
E01001636,Greenwich 007E,336850,375183,371387,345166,4,357146.5
E01001637,Greenwich 009D,308000,340191,386286,369748,4,351056.25
E01001638,Greenwich 038A,330333,336400,,,4,166683.25
E01001640,Greenwich 035A,524287,480818,516615,555582,4,519325.5
E01001641,Greenwich 038B,607333,620667,688964,785676,4,675660
E01001642,Greenwich 038C,1115217,1015168,957503,1050769,1,4138657
E01001644,Greenwich 038D,536447,527618,525795,526884,4,529186
E01001645,Greenwich 022A,363808,363773,375056,396538,4,374793.75
E01001646,Greenwich 019A,337154,324190,300214,294076,4,313908.5
E01001647,Greenwich 022B,524042,524882,555471,522531,4,531731.5
E01001648,Greenwich 022C,418242,421188,422794,427625,4,422462.25
E01001649,Greenwich 022D,375611,334438,353200,365045,4,357073.5
E01001650,Greenwich 019B,433306,438861,448038,412200,4,433101.25
E01001651,Greenwich 019C,369212,370396,354313,327400,4,355330.25
E01001652,Greenwich 019D,440573,465302,466960,472964,4,461449.75
E01001653,Greenwich 029A,295679,297042,297654,290563,4,295234.5
E01001654,Greenwich 029B,386385,339231,335923,287778,3,449772.3333
E01001655,Greenwich 029C,291545,291818,290167,,4,218382.5
E01001656,Greenwich 034A,540273,545167,541773,571123,4,549584
E01001657,Greenwich 034B,522508,578762,706250,803872,4,652848
E01001658,Greenwich 034C,429379,411763,369760,366009,4,394227.75
E01001659,Greenwich 034D,536071,489375,502167,504750,1,2032363
E01001660,Greenwich 029D,446020,469477,467659,451000,1,1834156
E01001661,Greenwich 029E,374940,382820,382280,340136,1,1480176
E01001662,Greenwich 037A,659507,608008,534651,463521,4,566421.75
E01001664,Greenwich 037B,582981,602126,682115,681047,1,2548269
E01001665,Greenwich 037C,519569,576613,543248,544174,3,727868
E01001666,Greenwich 036A,418462,407328,390089,410300,4,406544.75
E01001667,Greenwich 036B,504718,550886,578173,590468,3,741415
E01001668,Greenwich 036C,574572,591368,596949,579638,3,780842.3333
E01001669,Greenwich 033A,340375,375288,388047,391125,4,373708.75
E01001671,Greenwich 033B,307767,304500,291139,312923,4,304082.25
E01001672,Greenwich 006A,274295,278125,278515,281350,0,#DIV/0!
E01001673,Greenwich 006B,,,,287727,0,#DIV/0!
E01001674,Greenwich 006C,308423,326654,335088,336083,4,326562
E01001675,Greenwich 006D,311185,329641,345400,350313,3,445513
E01001676,Greenwich 033C,338917,339450,354810,345009,3,459395.3333
E01001677,Greenwich 006E,323164,321839,345212,343357,4,333393
E01001678,Greenwich 017A,335166,350714,356024,359806,1,1401710
E01001679,Greenwich 020A,413537,413071,400977,399161,0,#DIV/0!
E01001680,Greenwich 020B,443888,504437,508304,551040,4,501917.25
E01001681,Greenwich 020C,407097,412097,400942,414866,4,408750.5
E01001682,Greenwich 020D,355181,356275,427275,441743,0,#DIV/0!
E01001683,Greenwich 017B,426359,428512,442048,439700,4,434154.75
E01001684,Greenwich 017C,362750,349111,327750,,4,259902.75
E01001685,Greenwich 017D,367825,363083,341050,357833,4,357447.75
E01001686,Greenwich 020E,320478,323826,327717,339816,0,#DIV/0!
E01001687,Greenwich 002A,262281,252827,255691,256706,4,256876.25
E01001688,Greenwich 002B,255500,253179,270250,268792,4,261930.25
E01001690,Greenwich 001A,252400,,,,4,63100
E01001692,Greenwich 001B,,,,226571,4,56642.75
E01001693,Greenwich 001C,,,,190722,4,47680.5
E01001694,Greenwich 001D,212500,232405,237100,247000,4,232251.25
E01001695,Greenwich 011A,,,,312000,1,312000
E01001696,Greenwich 011B,,352813,391694,399377,4,285971
E01001697,Greenwich 011C,318042,327636,344000,389444,4,344780.5
E01001698,Greenwich 015A,304860,301860,294400,,0,#DIV/0!
E01001699,Greenwich 015B,286000,277400,,254400,4,204450
E01001700,Greenwich 011D,305808,286961,293958,328175,4,303725.5
E01001701,Greenwich 015C,395311,400895,360076,385263,4,385386.25
E01001702,Greenwich 015D,,,,,4,0
E01001703,Greenwich 011E,,,,,4,0
E01001704,Greenwich 011F,394958,423250,413423,433167,4,416199.5
E01001705,Greenwich 005A,281175,281175,237167,,4,199879.25
E01001706,Greenwich 005B,,403250,430214,436357,4,317455.25
E01001708,Greenwich 005C,479192,465365,486280,500030,4,482716.75
E01001709,Greenwich 004B,,,,328893,4,82223.25
E01001710,Greenwich 005D,,,,,4,0
E01001711,Greenwich 004C,242063,269625,277475,283275,4,268109.5
E01001712,Greenwich 004D,264364,264750,286857,296000,4,277992.75
E01001713,Greenwich 005E,,,,,4,0
E01032567,Greenwich 033D,353820,355487,345226,352916,4,351862.25
E01033726,Greenwich 034E,533632,541882,522092,458979,4,514146.25
E01033727,Greenwich 035B,430831,443539,457459,431883,0,#DIV/0!
E01033728,Greenwich 035C,533238,519150,547714,484017,4,521029.75
E01033729,Greenwich 030E,452143,476111,438667,360625,4,431886.5
E01033730,Greenwich 035D,489231,470076,463415,421142,4,460966
E01033731,Greenwich 004E,370556,386376,405572,396638,4,389785.5
E01033732,Greenwich 036D,338250,358500,441000,414194,4,387986
E01033733,Greenwich 036E,464147,471712,484278,517132,4,484317.25
E01033734,Greenwich 004F,361858,374944,366875,395769,3,499815.3333
E01033735,Greenwich 004G,242803,257750,256000,260600,4,254288.25
E01033736,Greenwich 004H,512300,511694,477059,540978,4,510507.75
E01033737,Greenwich 004I,403714,410584,417752,434286,4,416584
E01033738,Greenwich 037D,453600,473382,450479,507259,3,628240
E01033739,Greenwich 002E,248900,236902,237989,247069,4,242715
E01033740,Greenwich 002F,273375,290500,296733,328563,4,297292.75
E01033741,Greenwich 002G,269000,271286,277100,286639,4,276006.25
E01033742,Greenwich 007F,271475,285619,302108,315553,4,293688.75
E01033743,Greenwich 002H,280553,301750,314200,286682,4,295796.25
E01033744,Greenwich 007G,290934,284970,296148,294493,4,291636.25
E01033745,Greenwich 002I,283643,297079,306500,310000,4,299305.5
